Header Name,Mnemonic
G1 RPM,G1RPM 
G1 Right Exhaust Temp,G1RIGHTE 
G2 % Load,G2LOAD 
G2 After Cooler Temp,G2AFTERC 
G2 Battery Voltage,G2BATTER 
G2 Boost Pressure,G2BOOSTP 
G2 Coolant Temp,G2COOLAN 
G2 Crankcase Pressure,G2CRANKC 
G2 Engine Hours,G2ENGINE 
G2 Fuel Consumption ECM,G2FUELCO 
G2 Fuel Filter DiffP,G2FUELFI 
G2 Fuel Pressure,G2FUELPR 
G2 Left Exhaust Temp,G2LEFTEX 
G2 Oil Filter DiffP,G2OILFIL 
G2 Oil Pressure,G2OILPRE 
G2 Power Derate,G2POWERD 
G2 RPM,G2RPM 
G2 Right Exhaust Temp,G2RIGHTE 
G3 % Load,G3LOAD 
G3 After Cooler Temp,G3AFTERC 
G3 Battery Voltage,G3BATTER 
G3 Boost Pressure,G3BOOSTP 
G3 Coolant Temp,G3COOLAN 
G3 Crankcase Pressure,G3CRANKC 
G3 Engine Hours,G3ENGINE 
G3 Fuel Consumption ECM,G3FUELCO 
G3 Fuel Filter DiffP,G3FUELFI 
G3 Fuel Pressure,G3FUELPR 
G3 Left Exhaust Temp,G3LEFTEX 
G3 Oil Filter DiffP,G3OILFIL 
G3 Oil Pressure,G3OILPRE 
G3 Power Derate,G3POWERD 
G3 RPM,G3RPM 
G3 Right Exhaust Temp,G3RIGHTE 
GA Blk Heater Duty Cycle,GABKD 
GA Box Heater Duty Cycle,GABHD 
GA Conn Heater Duty Cycle,GACHD 
GA Gas Cell Abs Pressure,GACAP 
GA Heat Trace Duty Cycle,GAHTD 
GA Heat Trace Temp,CAHTT 
GA Status 1,GAST1 
GA Status 2,GAST2 
GA Trap Connector Temp,CATCT 
GA Trap Motor Current,GATMC 
GA Trap Motor Temp,GATMT 
GAMMA  AZ UP,GAMMAAZU 
GAMMA AZ DOWN,GAMMAAZD 
GAMMA AZ LEFT,GAMMAAZL 
GAMMA MWD,GAMMAMWD 
GRC,GRC 
GTF,GTF 
GTS,GTS 
Gain Loss,GAINLOSS 
Gamma,GAM 
Gamma 0823,GAMMA082 
Gamma 2,GAMMA2 
Gamma Fresh,GAMFR 
Gamma at Bit,GAM 
Gravity Toolface,GTF 
Gravity Toolface Fresh,GTFFR 
H&amp;P ROP,HAMPPROP 
H2S,H2S 
HH:MM:SS,LOGTIMESEC 
HOLE DEPTH,DEPT 
Heavy Gas,PHGP 
Heavy Ratio,HVYRT 
Hol XY,HOLXY 
Hol Z,HOLZ 
Hole Depth,DEPT 
Hole Diameter,HDIAM 
Hook Load,HL 
Hydrocarbon Flow,HCF 
INC WD,INCWD 
INC While Drilling,INCWHILE 
Inclination,INCL 
Influx Estimate,INFLE 
Influx Prediction,INPDT 
InfluxPredict2,INPD2 
LAT VB,LATVB 
Line Wear,LWEAR 
MAIN SUCK,MAINSUCK 
MAKE UP TONGS,MAKEUPTON 
MAKE UP TORQUE,MAKEUPTOR 
MASTER CLUTCH,MASTERCL 
MTF,MTF 
MWD C_Azm,MWDC_AZM 
MWD C_Inc,MWDC_INC 
MWD Charge Remaining,MWDCG 
MWD Check Word,CHKWD 
MWD DH,MWDDH 
MWD DIPA,MWDDIPA 
MWD DYNAMIC AZI,DYNAZ 
MWD DYNAMIC INC,DYNIN 
MWD Decode Quality Pct.,MWDQU 
MWD Decode Success Pct.,MWDSU 
MWD Downhole RPM,MWRPM 
MWD GRAV,MWDGRAV 
MWD General Variable 0,GV0 
MWD General Variable 1,GV1 
MWD General Variable 10,GV10 
MWD General Variable 2,GV2 
MWD General Variable 3,GV3 
MWD General Variable 4,GV4 
MWD General Variable 5,GV5 
MWD General Variable 6,GV6 
MWD General Variable 7,GV7 
MWD General Variable 8,GV8 
MWD General Variable 9,GV9 
MWD Lateral Shock Level,MWDLS 
MWD Lateral Shock Pct.,MWDLP 
MWD MAGF,MWDMAGF 
MWD Pump State,MWDPS 
MWD Reverse Rotation,MWDRE 
MWD SHOCK,MWDSHOCK 
MWD Stick Slip Level,MWDSS 
MWD TEMP,MWDTEMP 
MWD Temperature,TEMP 
MWD VIB,MWDVIB 
MWD Vibration Count,VBCNT 
MWD Vibration XY Gamma,VBXYG 
MWD Vibration XYZ,VBXYZ 
MWD Vibration XYZ Gamma,VXYZG 
MWD Vibration Z Gamma,VBZG 
Magnetic Toolface,MTF 
Magnetic Toolface Fresh,MTFFR 
Mechanical Specific Energy,MSE 
Mechanical Specific Energy Target,MSETG 
Memos,MESSAGE 
Min Convertible Torque,MCTOR 
Min Hook Load,MHKL 
Min Pressure,MPRS 
Min RPM,MRPM 
Min TTS Load,MTTSL 
Min TTS Torque,MTTST 
Min TTS Weight on Bit,MTWOB 
Min Torque,MTOR 
Min WOB,MWOB 
Motor Max Diff,MMDIF 
Motor Max Torque,MMTOR 
Motor RPM,MTRPM 
Mud Density,MDEN 
Mud G/L Alarm State,MGLAL 
Mud Motor Used,MMOTO 
Mud Tank 1 Volume,TV1 
Mud Tank 10 Volume,TV10 
Mud Tank 2 Volume,TV2 
Mud Tank 3 Volume,TV3 
Mud Tank 4 Volume,TV4 
Mud Tank 5 Volume,TV5 
Mud Tank 6 Volume,TV6 
Mud Tank 7 Volume,TV7 
Mud Tank 8 Volume,TV8 
Mud Tank 9 Volume,TV9 
Mud Viscosity,MVIS 
Mud pH,MPH 
N2 Rate,N2R 
Nitrogen Pressure In,N2P 
Nitrogen Volume In,N2VI 
Nitrogen Volume Out,N2VO 
On Bottom Hours,OBH 
On Bottom ROP,OBR 
On Bottom ROP Target,OBRTG 
Over Pull,OVRP 
Overall ROP,OROP 
P1 Rate,P1RAT 
P2 Rate,P2RAT 
P3 Rate,P3RAT 
P4 Rate,P4RAT 
PD AZIM,PDAZIM 
PD INC,PDINC 
PV Estimate,PEST 
PV Estimate Error,PESTE 
PV Loss Estimate,PVLES 
PVT Accum Fill Strokes,PAFS 
PVT Fill Strokes,PFS 
PVT Monitor Mud Gain/Loss,PMGL 
PVT Mud G/L Threshold,PMGLT 
PVT Mud Tanks Included,TANKS 
PVT Total Mud Gain/Loss,VTGL 
PWD ANN. Pres,PWDANNPR 
PWD Ann. Pres,PWDANNPR 
PWD Int. Pres,PWDINTPR 
Pason Gas,PGAS 
Pason Gas Percent,PGAS2 
Pason Gas Percent Unlagged,TGAS 
Pason Gas Unlagged,PTGN 
Percent WITS GAS,WGASP 
Por1 At Bit,POR1B 
Por2 At Bit,POR2B 
Pressure backup,PRESSURE 
Pressure-1,PRESSURE1 
Pressure-2,PRESSURE2 
Processing Paused,PPSE 
Pump 1 strokes/min,SPM1 
Pump 1 total strokes,TS1 
Pump 2 strokes/min,SPM2 
Pump 2 total strokes,TS2 
Pump 3 strokes/min,SPM3 
Pump 3 total strokes,TS3 
Pump 4 total strokes,TS4 
Pump Rate Estimate,PREST 
Pump Total Strokes Rate,SKTTL 
RINC,RINC 
RInc,RINC 
ROTARY,ROT 
Rate Of Penetration,ROP 
Rate-1,RATE1 
Rate-2,RATE2 
Relative MSE,RMSE 
Res1 at Bit,RES1B 
Res2 at Bit,RES2B 
Resistivity 1,RES1 
Reverse Dynamx,REVERSED 
Rlnc,RLNC 
Rolling Inc,ROLLINGI 
Rotary Canrig,ROTARYCA 
Rotary RPM,RPM 
Rotary RPM Target,RPMTG 
Rotary Torque,TOR 
Rotary Torque Target,TORTG 
SHK 1,SHK1 
SHOCK,SHOCK 
SLIP STICK INDEX,SLIPSTICI 
SP CONT AZI,SPCONTAZ 
SP CONT INC,SPCONTIN 
SP GAMMA,SPGAMMA 
SP GTF,SPGTF 
SP MTF,SPMTF 
SP TEMP,SPTEMP 
SSI,SSI 
Sandline Depth,SDEP 
Sandline Megajoules,SMJ 
Sandline Running Speed,SRS 
Sensor Depth,SNDEP 
Shock &amp; Vibration,SHOCKAMP 
Shock Axial Lvl,SHOCKAXIL 
Shock Axial Max,SHOCKAXIM 
Shock Axl Max,SHOCKAXL 
Shock Lat Lvl,SHOCKLATL 
Shock Lat Max,SHOCKLATM 
Shock Risk,SHOCKRIS 
Shock Risk Dynamx,SHOCKRISD 
Shock Total,SHOCKTOT 
Slip Stick RPM,SLIPSTICR 
Slurry Density,SDEN 
SlurryTtl,SLURRYTT 
Speed Flow Ratio,SFLOW 
Standpipe Pressure,SPP 
Stick Slip Dynamx,STICKSLID 
Stick Slip Risk,STICKSLIR 
Strokes #1,STROKES1 
Strokes #2,STROKES2 
Strokes #3,STROKES3 
Surface Stick Slip Index,SSSI 
TONG PULL,TONGPULL 
TONG TORQUE,TTORQ 
TOOLFACE1,TOOLFACE 
TORQUE,TOR 
TOTAL MUD,TOTALMUD 
TTS Load,TTSL 
TTS Mechanical Specific Energy,TTMSE 
TTS Torque,TTST 
TTS Weight on Bit,TTWOB 
TVD,TVD 
Tank 1,TANK1 
Tank 1 Capacity,TC_1 
Tank 2,TANK2 
Tank 2 Capacity,TC_2 
Tank 3,TANK3 
Tank 3 Capacity,TC_3 
Tank 4,TANK4 
Tank 4 Capacity,TC_4 
Tank 5,TANK5 
Tank 5 Capacity,TC_5 
Tank 6,TANK6 
Tank 6 Capacity,TC_6 
Tank 7,TANK7 
Tank 7 Capacity,TC_7 
Tank 8,TANK8 
Tank 8 Capacity,TC_8 
Tank 9 Capacity,TC_9 
Temp,TEMP 
Temperature,TEMPERAT 
Time Of Penetration,TOP 
Tool Face,TF 
Tool RPM,TOOLRPM 
Tool Reverse,TOOLREVE 
Top Drive Rotary,TDROT 
TopDriveRotary,TOPDRIVER 
TopDriveTorque,TOPDRIVET 
Torque,TOR 
Torque Canrig,TORQUECA 
Total Fill Strokes,TFIL 
Total Gas Return,TGR 
Total Mud,TOTALMUD 
Total Mud Volume,MV 
Total Pump Output,TPO 
Total Pump Output Target,TPOTG 
Total Strokes,TOTALSTR 
Total Strokes P1+P2+P3+P4,TS14 
TotalPumpDisplacement,TPD 
Totco RPM,TOTCORPM 
Totco Torq,TOTCOTOR 
Trip 1,TRIP1 
Trip 1 Capacity,TTC_1 
Trip 2,TRIP2 
Trip 2 Capacity,TTC_2 
Trip Speed,TRSP 
Trip Tank 1 Alarm State,TT1AL 
Trip Tank 1 High Threshold,TT1HI 
Trip Tank 1 Low Threshold,TT1LO 
Trip Tank 1 Refill Status,T1ST 
Trip Tank 1 Volume,MVTT1 
Trip Tank 2 Alarm State,TT2AL 
Trip Tank 2 High Threshold,TT2HI 
Trip Tank 2 Low Threshold,TT2LO 
Trip Tank 2 Volume,MVTT2 
Trip Tank Accum,TTACC 
Trip Tank Fill,TTFIL 
Trip Tank Mud Volume,MVTT 
Trip Total High Threshold,TRIPTOTAH 
Trip Total Low Threshold,TRIPTOTAL 
True Vertical Depth,TVDV 
VIB 1,VIB1 
VIBE,VIBE 
ValPress,VALPRESS 
WELL HEAD BC 4609,WELLHEAD 
WITS #1,WIT1 
WITS #10,WIT10 
WITS #11,WIT11 
WITS #12,WIT12 
WITS #13,WIT13 
WITS #17,WIT17 
WITS #18,WIT18 
WITS #2,WIT2 
WITS #26,WIT26 
WITS #3,WIT3 
WITS #4,WIT4 
WITS #45,WIT45 
WITS #46,WIT46 
WITS #5,WIT5 
WITS #6,WIT6 
WITS #7,WIT7 
WITS #8,WIT8 
WITS #9,WIT9 
WITS Gas,WGAS 
WITS ROTARY,ROT 
WITS Rotary,ROT 
WITS TORQUE,TOR 
WITS Torque,TOR 
WPDA,WPDA 
Water Nozzle,H2ON 
Water Out,H2OO 
Weight on Bit,WOB 
Weight on Bit Target,WOBTG 
Wetness Ratio,WETR 
XY,XY 
XY Accel. Severity Level,SEVXY 
XY Shock,XYSHOCK 
XY VIBE,XYVIBE 
XY Vibe,XYVIBE 
YYYY/MM/DD,LOGTIME 
Z,Z 
Z Accel. Severity Level,SEVZX 
Z Shock,ZSHOCK 
Z VIBE,ZVIBE 
Z Vibe,ZVIBE 
ahrs,AHRS 
chr Acetylene,ACET 
chr Carbon Dioxide CO2,CO2 
chr Ethane C2,C2M 
chr Gas Specific GravityM,SGG 
chr Iso-Butane IC4,IC4 
chr Iso-Hexane IC6,IC6 
chr Iso-Pentane IC5,IC5 
chr Methane C1,C1M 
chr Neo-Pentane NC5,NEC5 
chr Nor-Butane NC4,NC4 
chr Nor-Hexane NC6,NRC6 
chr Nor-Pentane NC5,NRC5 
chr Oxygen O2,O2 
chr Propane C3,C3M 
chr Total Gas,CHRTG 
dexponent,DEXP 
gAMMA,GAM 
iC4 Isobutane Gas,PIC4G 
nC4 Normal Butane Gas,PNC4G 
rop,ROP 
tgs Air Flow,PAFL 
tgs Air Heater Temperature,PAHT 
tgs Analyzer Pressure,TGSANALY 
tgs Block Concentration Percentage,BTCL 
tgs Block Temperature,BLKT 
tgs Box Temperature,BTEM 
tgs Dryer Temperature,PDRY 
tgs Exhaust Flow,EXFL 
tgs Mud Density In,DIN 
tgs Mud Density Out,DOUT 
tgs Mud Temperature In,MTIN 
tgs Mud Temperature Out,MTOU 
tgs Mud Viscosity,RVIS 
tgs RPM,ARPM 
tgs Rig Air Pressure,PRAP 
tgs Sample DAC,SDAC 
tgs Sample Flow,PSFL 
tgs Trap Temperature,TRPT 
ubd Flow Pressure,UBFP 
ubd Flow Temperature,UBFT 
